,St,EMAt1,EMAt2,Vt1,Vt2,RSIt1,RSIt2,RSIt3,BBt1,BBt2,MACDt1,MACDt2,CMFt1,CMFt2
min,938.75,1023.458379,1023.458379,1363291,1363291,14.62863883,14.62863883,14.62863883,1042.856,1042.856,-118.9220533,-118.9220533,-0.403863194,-0.403863194
max,2228.96,2194.599358,2194.599358,12097912,12097912,89.75099512,89.75099512,89.75099512,2172.3045,2172.3045,66.19377207,66.19377207,0.52392621,0.52392621
